"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","points","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds"
"REXBURKHEAD","RB","espn","Rex Burkhead","CIN",74,296,"0.2",0,0,0,0,0,0.3,1.6,0,0.3,2.4,0
"JAMESWHITE","RB","espn","James White","NE",75,297,"0.2",0,0,0,0,0,0.3,1.1,0,0.3,2.3,0
"CAMERONARTISPAYNE","RB","espn","Cameron Artis-Payne","CAR",76,298,"0.2",0,0,0,0,0,0.8,3.2,0,0,0,0
"MILESAUSTIN","WR","espn","Miles Austin","PHI",98,299,"0.2",0,0,0,0,0,0,0,0,0.6,8.3,0
"BRANDONTATE","WR","espn","Brandon Tate","CIN",99,300,"0.2",0,0,0,0,0,0,0,0,0.1,1.2,0
"CHRISHOGAN","WR","espn","Chris Hogan","BUF",100,301,"0.2",0,0,0,0,0,0,0,0,0.3,4.6,0
"CORDARRELLEPATTERSON","WR","espn","Cordarrelle Patterson","MIN",101,302,"0.2",0,0,0,0,0,0.1,0.9,0,0.1,1.2,0
"ERICWEEMS","WR","espn","Eric Weems","ATL",102,303,"0.2",0,0,0,0,0,0,0,0,0,0,0
"AARONDOBSON","WR","espn","Aaron Dobson","NE",103,304,"0.2",0,0,0,0,0,0,0,0,0.2,3.2,0
"CHRISGRAGG","TE","espn","Chris Gragg","BUF",48,305,"0.2",0,0,0,0,0,0,0,0,0.4,4.3,0
"VANCEMCDONALD","TE","espn","Vance McDonald","SF",49,306,"0.2",0,0,0,0,0,0,0,0,0.6,7.3,0
"MICHAELWILLIAMS","TE","espn","Michael Williams","NE",50,307,"0.2",0,0,0,0,0,0,0,0,0.2,2.7,0
"VIRGILGREEN","TE","espn","Virgil Green","DEN",51,308,"0.2",0,0,0,0,0,0,0,0,0.4,4.6,0
"PATRICKDIMARCO","RB","espn","Patrick DiMarco","ATL",77,309,"0.1",0,0,0,0,0,0.1,0.5,0,0.3,2.5,0
"JAMIZEOLAWALE","RB","espn","Jamize Olawale","OAK",78,310,"0.1",0,0,0,0,0,1.7,6.2,0,0,0,0
"DARRELYOUNG","RB","espn","Darrel Young","WAS",79,311,"0.1",0,0,0,0,0,0.4,1.4,0,0.1,1.2,0
"ZACSTACY","RB","espn","Zac Stacy","NYJ",80,312,"0.1",0,0,0,0,0,0,0,0,0,0,0
"BOOBIEDIXON","RB","espn","Boobie Dixon","BUF",81,313,"0.1",0,0,0,0,0,0.3,1.1,0,0.1,0.8,0
"JEROMEFELTON","RB","espn","Jerome Felton","BUF",82,314,"0.1",0,0,0,0,0,0.3,0.9,0,0,0,0
"BRANDONBOLDEN","RB","espn","Brandon Bolden","NE",83,315,"0.1",0,0,0,0,0,0.3,1.1,0,0,0,0
"JUWANTHOMPSON","RB","espn","Juwan Thompson","DEN",84,316,"0.1",0,0,0,0,0,0.3,1,0,0.2,1.3,0
"TYLERCLUTTS","RB","espn","Tyler Clutts","DAL",85,317,"0.1",0,0,0,0,0,0,0,0,0.2,1.9,0
"DANIELHERRON","RB","espn","Daniel Herron","BUF",86,318,"0.1",0,0,0,0,0,0,0,0,0,0,0
"JALSTONFOWLER","RB","espn","Jalston Fowler","TEN",87,319,"0.1",0,0,0,0,0,0.2,0.7,0,0,0,0
"BRUCEMILLER","RB","espn","Bruce Miller","SF",88,320,"0.1",0,0,0,0,0,0,0,0,0.3,2.2,0
"DONTRELLEINMAN","WR","espn","Dontrelle Inman","SD",104,321,"0.1",0,0,0,0,0,0,0,0,0.2,3.5,0
"MARCMARIANI","WR","espn","Marc Mariani","CHI",105,322,"0.1",0,0,0,0,0,0,0,0,0,0,0
"DEVANTEPARKER","WR","espn","DeVante Parker","MIA",106,323,"0.1",0,0,0,0,0,0,0,0,0.2,3.1,0
"DENARIUSMOORE","WR","espn","Denarius Moore","BUF",107,324,"0.1",0,0,0,0,0,0,0,0,0,0,0
"LUCKYWHITEHEAD","WR","espn","Lucky Whitehead","DAL",108,325,"0.1",0,0,0,0,0,0,0,0,0,0,0
"JEFFJANIS","WR","espn","Jeff Janis","GB",109,326,"0.1",0,0,0,0,0,0,0,0,0.2,3.4,0
"GEREMYDAVIS","WR","espn","Geremy Davis","NYG",110,327,"0.1",0,0,0,0,0,0,0,0,0.2,2.8,0
"MYLESWHITE","WR","espn","Myles White","NYG",111,328,"0.1",0,0,0,0,0,0,0,0,0.2,2.8,0
"RASHADROSS","WR","espn","Rashad Ross","WAS",112,329,"0.1",0,0,0,0,0,0,0,0,0,0,0
"CODYLATIMER","WR","espn","Cody Latimer","DEN",113,330,"0.1",0,0,0,0,0,0,0,0,0.3,3.4,0
"BRENTONBERSIN","WR","espn","Brenton Bersin","CAR",114,331,"0.1",0,0,0,0,0,0,0,0,0.2,2.2,0
"ANDREROBERTS","WR","espn","Andre Roberts","WAS",115,332,"0.1",0,0,0,0,0,0,0,0,0.2,3.1,0
"CAMERONMEREDITH","WR","espn","Cameron Meredith","CHI",116,333,"0.1",0,0,0,0,0,0,0,0,0.2,2.4,0
"BRICEBUTLER","WR","espn","Brice Butler","DAL",117,334,"0.1",0,0,0,0,0,0,0,0,0.2,2.4,0
"MATTSPAETH","TE","espn","Matt Spaeth","PIT",52,335,"0.1",0,0,0,0,0,0,0,0,0.2,2.8,0
"TONYMOEAKI","TE","espn","Tony Moeaki","ATL",53,336,"0.1",0,0,0,0,0,0,0,0,0.2,2.7,0
"LEVINETOILOLO","TE","espn","Levine Toilolo","ATL",54,337,"0.1",0,0,0,0,0,0,0,0,0.2,2.7,0
"CRAIGSTEVENS","TE","espn","Craig Stevens","TEN",55,338,"0.1",0,0,0,0,0,0,0,0,0.2,2.6,0
"KELLENDAVIS","TE","espn","Kellen Davis","NYJ",56,339,"0.1",0,0,0,0,0,0,0,0,0.2,1.9,0
"RYANHEWITT","TE","espn","Ryan Hewitt","CIN",57,340,"0.1",0,0,0,0,0,0,0,0,0.2,1.6,0
"ROBHOUSLER","TE","espn","Rob Housler","CLE",58,341,"0.1",0,0,0,0,0,0,0,0,0.3,3.2,0
"JAMESHANNA","TE","espn","James Hanna","DAL",59,342,"0.1",0,0,0,0,0,0,0,0,0.2,2.2,0
"CLAYHARBOR","TE","espn","Clay Harbor","JAC",60,343,"0.1",0,0,0,0,0,0,0,0,0.2,2.7,0
"BLAKEBELL","TE","espn","Blake Bell","SF",61,344,"0.1",0,0,0,0,0,0,0,0,0.2,2.4,0
"MALCOLMJOHNSON","TE","espn","Malcolm Johnson","CLE",62,345,"0.1",0,0,0,0,0,0,0,0,0.3,2.7,0
"MATTHEWMULLIGAN","TE","espn","Matthew Mulligan","BUF",63,346,"0.1",0,0,0,0,0,0,0,0,0.1,1.1,0
"LUKESTOCKER","TE","espn","Luke Stocker","TB",64,347,"0.1",0,0,0,0,0,0,0,0,0.1,1.3,0
"RHETTELLISON","TE","espn","Rhett Ellison","MIN",65,348,"0.1",0,0,0,0,0,0,0,0,0.6,5.2,0
"MYCOLEPRUITT","TE","espn","MyCole Pruitt","MIN",66,349,"0.1",0,0,0,0,0,0,0,0,0.4,4.7,0
"CORYHARKEY","TE","espn","Cory Harkey","STL",67,350,"0.1",0,0,0,0,0,0,0,0,0.2,1.5,0
"KELLENCLEMENS","QB","espn","Kellen Clemens","SD",27,351,"0",0.2,0.1,1.4,0,0,0,0,0,0,0,0
"JIMMYGAROPPOLO","QB","espn","Jimmy Garoppolo","NE",28,352,"0",0.2,0.1,1.2,0,0,0,0,0,0,0,0
"AJMCCARRON","QB","espn","AJ McCarron","CIN",29,353,"0",0.1,0.1,1,0,0,0,0,0,0,0,0
"MIKEGLENNON","QB","espn","Mike Glennon","TB",30,354,"0",0.2,0.1,1.3,0,0,0,0,0,0,0,0
"ZACHMETTENBERGER","QB","espn","Zach Mettenberger","TEN",31,355,"0",0.2,0.1,1.3,0,0,0,0,0,0,0,0
"BRYCEPETTY","QB","espn","Bryce Petty","NYJ",32,356,"0",0.2,0.1,1.1,0,0,0,0,0,0,0,0
"RYANNASSIB","QB","espn","Ryan Nassib","NYG",33,357,"0",0.2,0.1,1.2,0,0,0,0,0,0,0,0
"EJMANUEL","QB","espn","EJ Manuel","BUF",34,358,"0",0.2,0.1,1,0,0,0,0,0,0,0,0
"LUKEMCCOWN","QB","espn","Luke McCown","NO",35,359,"0",0.2,0.1,1.2,0,0,0,0,0,0,0,0
"MATTHASSELBECK","QB","espn","Matt Hasselbeck","IND",36,360,"0",0.2,0.1,1.5,0,0,0,0,0,0,0,0
"DEREKANDERSON","QB","espn","Derek Anderson","CAR",37,361,"0",0.2,0.1,1.2,0,0,0,0,0,0,0,0
"SCOTTTOLZIEN","QB","espn","Scott Tolzien","GB",38,362,"0",0.2,0.1,1.4,0,0,0,0,0,0,0,0
"MATTMOORE","QB","espn","Matt Moore","MIA",39,363,"0",0.2,0.1,1.2,0,0,0,0,0,0,0,0
"LANDRYJONES","QB","espn","Landry Jones","PIT",40,364,"0",0.2,0.1,1.3,0,0,0,0,0,0,0,0
"BROCKOSWEILER","QB","espn","Brock Osweiler","DEN",41,365,"0",0.2,0.1,1.4,0,0,0,0,0,0,0,0
"JIMMYCLAUSEN","QB","espn","Jimmy Clausen","CHI",42,366,"0",0.2,0.1,1.1,0,0,0,0,0,0,0,0
"MATTMCGLOIN","QB","espn","Matt McGloin","OAK",43,367,"0",0.2,0.1,1.2,0,0,0,0,0,0,0,0
"BRANDONWEEDEN","QB","espn","Brandon Weeden","DAL",44,368,"0",0.2,0.1,1.2,0,0,0,0,0,0,0,0
"SEANRENFREE","QB","espn","Sean Renfree","ATL",45,369,"0",0.2,0.1,1.2,0,0,0,0,0,0,0,0
"BLAINEGABBERT","QB","espn","Blaine Gabbert","SF",46,370,"0",0.2,0.1,1.2,0,0,0,0,0,0,0,0
