"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","points","pointsLo","pointsHi","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp"
"ALEXSMITH","QB","KC","espn","Alex Smith",17,2015,55,336,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALFREDMORRIS","RB","WAS","average","Alfred Morris",18,2015,44,156,6.54,5.38,7.7,0,0,0,0,0,0,10.15,40,0.2,0.85,5.9,0,0.1,0,0,0,0,0,0,0,0,0,0
"ALFREDMORRIS","RB","WAS","averageRobust","Alfred Morris",18,2015,44,156,6.54,5.38,7.7,0,0,0,0,0,0,10.15,40,0.2,0.85,5.9,0,0.1,0,0,0,0,0,0,0,0,0,0
"ALFREDMORRIS","RB","WAS","averageWeighted","Alfred Morris",18,2015,44,156,6.54,5.38,7.7,0,0,0,0,0,0,10.15,40,0.2,0.85,5.9,0,0.1,0,0,0,0,0,0,0,0,0,0
"ALFREDMORRIS","RB","WAS","cbs","Alfred Morris",18,2015,39,126,7.7,5.38,7.7,NA,NA,NA,NA,NA,NA,12.3,47.9,0.2,1.1,7.1,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALFREDMORRIS","RB","WAS","espn","Alfred Morris",18,2015,46,165,5.38,5.38,7.7,0,0,0,0,0,0,8,32.1,0.2,0.6,4.7,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALLENHURNS","WR","JAC","average","Allen Hurns",19,2015,28,61,11.705,10.66,12.75,0,0,0,0,0,0,0,0,0,4.1,56.05,0.35,0.1,0,0,0,0,0,0,0,0,0,0
"ALLENHURNS","WR","JAC","averageRobust","Allen Hurns",19,2015,28,61,11.705,10.66,12.75,0,0,0,0,0,0,0,0,0,4.1,56.05,0.35,0.1,0,0,0,0,0,0,0,0,0,0
"ALLENHURNS","WR","JAC","averageWeighted","Allen Hurns",19,2015,28,61,11.705,10.66,12.75,0,0,0,0,0,0,0,0,0,4.1,56.05,0.35,0.1,0,0,0,0,0,0,0,0,0,0
"ALLENHURNS","WR","JAC","cbs","Allen Hurns",19,2015,30,76,10.66,10.66,12.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,48.6,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
